ENTREZID	SYMBOL	GENENAME	FC	ADJ.PVAL
13653	Egr1	early growth response 1	2.2	0.046
56200	Ddx21	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21	1.08	0.75
72504	Taf4b	TATA-box binding protein associated factor 4b	1.03	0.9
20848	Stat3	signal transducer and activator of transcription 3	0.76	0.93
68705	Gtf2f2	general transcription factor IIF, polypeptide 2	0.52	0.98
13710	Elf3	E74-like factor 3	-0.97	1
17869	Myc	myelocytomatosis oncogene	0.9	1
64685	Nmi	N-myc (and STAT) interactor	0.49	1
66491	Polr2l	polymerase (RNA) II (DNA directed) polypeptide L	0.46	1
57080	Gtf2ird1	general transcription factor II I repeat domain-containing 1	-0.45	1
21833	Thra	thyroid hormone receptor alpha	-0.43	1
18030	Nfil3	nuclear factor, interleukin 3, regulated	0.39	1
216154	Med16	mediator complex subunit 16	-0.36	1
30939	Pttg1	pituitary tumor-transforming gene 1	-0.36	1
14235	Foxm1	forkhead box M1	-0.34	1
16477	Junb	jun B proto-oncogene	0.34	1
109689	Arrb1	arrestin, beta 1	-0.33	1
20851	Stat5b	signal transducer and activator of transcription 5B	-0.32	1
22433	Xbp1	X-box binding protein 1	0.32	1
14884	Gtf2h1	general transcription factor II H, polypeptide 1	0.3	1
269610	Chd5	chromodomain helicase DNA binding protein 5	-0.29	1
225895	Taf6l	TATA-box binding protein associated factor 6 like	-0.28	1
245841	Polr2h	polymerase (RNA) II (DNA directed) polypeptide H	0.28	1
14284	Fosl2	fos-like antigen 2	0.25	1
21423	Tcf3	transcription factor 3	-0.24	1
330959	Snapc5	small nuclear RNA activating complex, polypeptide 5	-0.24	1
54006	Deaf1	DEAF1, transcription factor	-0.24	1
74197	Gtf2e1	general transcription factor II E, polypeptide 1 (alpha subunit)	0.24	1
76044	Ncapg2	non-SMC condensin II complex, subunit G2	-0.24	1
83602	Gtf2a1	general transcription factor II A, 1	-0.23	1
216869	Arrb2	arrestin, beta 2	-0.22	1
231329	Polr2b	polymerase (RNA) II (DNA directed) polypeptide B	0.22	1
101471	Phrf1	PHD and ring finger domains 1	0.21	1
16825	Ldb1	LIM domain binding 1	-0.21	1
20022	Polr2j	polymerase (RNA) II (DNA directed) polypeptide J	-0.21	1
209357	Gtf2h3	general transcription factor IIH, polypeptide 3	0.21	1
