ENTREZID	SYMBOL	GENENAME	FC	ADJ.PVAL
13009	Csrp3	cysteine and glycine-rich protein 3	3.73	0.0035
21687	Tek	TEK receptor tyrosine kinase	-1.8	0.039
17684	Cited2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	0.68	0.39
330171	Kctd10	potassium channel tetramerisation domain containing 10	-0.34	0.59
13411	Dnah11	dynein, axonemal, heavy chain 11	0.88	0.81
22761	Zfpm1	zinc finger protein, multitype 1	-0.89	0.85
14609	Gja1	gap junction protein, alpha 1	0.9	1
13857	Epor	erythropoietin receptor	-0.66	1
21821	Ift88	intraflagellar transport 88	-0.61	1
192231	Hexim1	hexamethylene bis-acetamide inducible 1	-0.58	1
18763	Pkd1	polycystin 1, transient receptor poteintial channel interacting	-0.53	1
56376	Pdlim5	PDZ and LIM domain 5	0.51	1
14388	Gab1	growth factor receptor bound protein 2-associated protein 1	-0.49	1
15184	Hdac5	histone deacetylase 5	-0.45	1
18018	Nfatc1	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 1	-0.45	1
11481	Acvr2b	activin receptor IIB	-0.43	1
216274	Cep290	centrosomal protein 290	-0.43	1
106633	Ift140	intraflagellar transport 140	-0.37	1
110350	Dync2h1	dynein cytoplasmic 2 heavy chain 1	-0.35	1
21803	Tgfb1	transforming growth factor, beta 1	0.34	1
16948	Lox	lysyl oxidase	0.33	1
72938	Hspb11	heat shock protein family B (small), member 11	-0.33	1
12301	Cacybp	calcyclin binding protein	0.32	1
68929	Mospd3	motile sperm domain containing 3	-0.32	1
30794	Pdlim4	PDZ and LIM domain 4	-0.31	1
11764	Ap1b1	adaptor protein complex AP-1, beta 1 subunit	-0.3	1
329795	Tmem67	transmembrane protein 67	-0.3	1
67399	Pdlim7	PDZ and LIM domain 7	-0.29	1
108156	Mthfd1	methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthase	0.28	1
544696	Tbc1d32	TBC1 domain family, member 32	-0.28	1
67661	Ift172	intraflagellar transport 172	-0.28	1
19058	Ppp3r1	protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I)	-0.27	1
67451	Pkp2	plakophilin 2	-0.27	1
11364	Acadm	acyl-Coenzyme A dehydrogenase, medium chain	0.26	1
140859	Nek8	NIMA (never in mitosis gene a)-related expressed kinase 8	-0.26	1
19247	Ptpn11	protein tyrosine phosphatase, non-receptor type 11	-0.26	1
66923	Pbrm1	polybromo 1	0.26	1
79221	Hdac9	histone deacetylase 9	-0.26	1
12576	Cdkn1b	cyclin-dependent kinase inhibitor 1B	-0.25	1
21956	Tnnt2	troponin T2, cardiac	-0.25	1
110355	Grk2	G protein-coupled receptor kinase 2	-0.24	1
239719	Mrtfb	myocardin related transcription factor B	-0.24	1
